date,p
9/1/1994,0.005941481
10/1/1994,0.007337842
11/1/1994,0.020131905
12/1/1994,0.009756772
1/1/1995,0
2/1/1995,0
3/1/1995,0.006142578
4/1/1995,0
5/1/1995,0
6/1/1995,0
7/1/1995,0
8/1/1995,0
9/1/1995,0
10/1/1995,0.002298726
11/1/1995,0
12/1/1995,0
1/1/1996,0
2/1/1996,0.009755385
3/1/1996,0.022634214
4/1/1996,0.008888972
5/1/1996,0.012126254
6/1/1996,0.00498242
7/1/1996,0.024515118
8/1/1996,0.020648133
9/1/1996,0.016697826
10/1/1996,0.028755293
11/1/1996,0.00771771
12/1/1996,0.045801766
1/1/1997,0.030206231
2/1/1997,0.046096489
3/1/1997,0.042793087
4/1/1997,0.02973393
5/1/1997,0.027986679
6/1/1997,0.038216912
7/1/1997,0.045999978
8/1/1997,0.069983351
9/1/1997,0.065830729
10/1/1997,0.140201412
11/1/1997,0.129937687
12/1/1997,0.079618353
1/1/1998,0.082059473
2/1/1998,0.054550936
3/1/1998,0.07786724
4/1/1998,0.077056554
5/1/1998,0.077883959
6/1/1998,0.063979388
7/1/1998,0.088991974
8/1/1998,0.286089289
9/1/1998,0.268519924
10/1/1998,0.166915176
11/1/1998,0.144008559
12/1/1998,0.13485718
1/1/1999,0.143980924
2/1/1999,0.137813611
3/1/1999,0.111357959
4/1/1999,0.117119882
5/1/1999,0.142640143
6/1/1999,0.094524306
7/1/1999,0.141711197
8/1/1999,0.12553371
9/1/1999,0.136007958
10/1/1999,0.111339682
11/1/1999,0.091248148
12/1/1999,0.087938554
1/1/2000,0.097095957
2/1/2000,0.088977202
3/1/2000,0.087829915
4/1/2000,0.092011242
5/1/2000,0.089240367
6/1/2000,0.0611887
7/1/2000,0.056094703
8/1/2000,0.029647255
9/1/2000,0.055300938
10/1/2000,0.063467891
11/1/2000,0.103479887
12/1/2000,0.092599466
1/1/2001,0.05955284
2/1/2001,0.083872413
3/1/2001,0.089447819
4/1/2001,0.068252179
5/1/2001,0.063623968
6/1/2001,0.041058883
7/1/2001,0.05225668
8/1/2001,0.072178817
9/1/2001,0.115252857
10/1/2001,0.120574624
11/1/2001,0.079711501
12/1/2001,0.068458551
1/1/2002,0.054549307
2/1/2002,0.056382989
3/1/2002,0.028047321
4/1/2002,0.045826366
5/1/2002,0.045501647
6/1/2002,0.069942191
7/1/2002,0.10525617
8/1/2002,0.140602243
9/1/2002,0.20476411
10/1/2002,0.118206105
11/1/2002,0.094192318
12/1/2002,0.126394539
1/1/2003,0.145032415
2/1/2003,0.116720201
3/1/2003,0.100895033
4/1/2003,0.052173531
5/1/2003,0.045002808
6/1/2003,0.042267637
7/1/2003,0.037985345
8/1/2003,0.043788871
9/1/2003,0.065062985
10/1/2003,0.022497488
11/1/2003,0.024910442
12/1/2003,0.020640513
1/1/2004,0.024202746
2/1/2004,0.019313157
3/1/2004,0.033984932
4/1/2004,0.036968311
5/1/2004,0.027475188
6/1/2004,0.022441783
7/1/2004,0.032199062
8/1/2004,0.026044928
9/1/2004,0.014934903
10/1/2004,0.01708825
11/1/2004,0.004510535
12/1/2004,0.002240853
1/1/2005,0
2/1/2005,0
3/1/2005,0.001512904
4/1/2005,0.010966083
5/1/2005,0.00967287
6/1/2005,0.00208409
7/1/2005,0
8/1/2005,0.003771555
9/1/2005,0.004795424
10/1/2005,0.009436399
11/1/2005,0.004248269
12/1/2005,0.004226391
1/1/2006,0
2/1/2006,0
3/1/2006,0
4/1/2006,0
5/1/2006,0.016309204
6/1/2006,0.009685932
7/1/2006,0.01516729
8/1/2006,0.004836545
9/1/2006,0.00511276
10/1/2006,0
11/1/2006,0
12/1/2006,0.003150867
1/1/2007,0
2/1/2007,0.008532607
3/1/2007,0.011010661
4/1/2007,0.005935197
5/1/2007,0.004720597
6/1/2007,0.017049892
7/1/2007,0.05209729
8/1/2007,0.062851035
9/1/2007,0.04021481
10/1/2007,0.05975063
11/1/2007,0.098074802
12/1/2007,0.091359837
1/1/2008,0.097565445
2/1/2008,0.112239861
3/1/2008,0.102240945
4/1/2008,0.061858734
5/1/2008,0.060177119
6/1/2008,0.088401912
7/1/2008,0.074410932
8/1/2008,0.069776556
9/1/2008,0.158038443
10/1/2008,0.395348269
11/1/2008,0.40948517
12/1/2008,0.278895481
1/1/2009,0.300823587
2/1/2009,0.302260727
3/1/2009,0.281001847
4/1/2009,0.207733425
5/1/2009,0.149181006
6/1/2009,0.125018192
7/1/2009,0.114920212
8/1/2009,0.123454696
9/1/2009,0.101803783
10/1/2009,0.124030215
11/1/2009,0.102410791
12/1/2009,0.083018329
1/1/2010,0.088213091
2/1/2010,0.064288389
3/1/2010,0.048735626
4/1/2010,0.08019248
5/1/2010,0.156100712
6/1/2010,0.194870407
7/1/2010,0.113009442
8/1/2010,0.140098825
9/1/2010,0.11015717
10/1/2010,0.07644126
11/1/2010,0.095526819
12/1/2010,0.063198148
1/1/2011,0.049807955
2/1/2011,0.051122254
3/1/2011,0.049933296
4/1/2011,0.0355306
5/1/2011,0.035756132
6/1/2011,0.044250566
7/1/2011,0.074732259
8/1/2011,0.147758604
9/1/2011,0.240126138
10/1/2011,0.13372776
11/1/2011,0.144569765
12/1/2011,0.112514634
1/1/2012,0.070989058
2/1/2012,0.068807342
3/1/2012,0.043192233
4/1/2012,0.049096203
5/1/2012,0.105743777
6/1/2012,0.057009793
7/1/2012,0.060011912
8/1/2012,0.058889476
9/1/2012,0.03603026
10/1/2012,0.043128031
11/1/2012,0.029312459
12/1/2012,0.041301969
1/1/2013,0.017221785
2/1/2013,0.020109625
3/1/2013,0.013362347
4/1/2013,0.011690904
5/1/2013,0.025561445
6/1/2013,0.037410362
7/1/2013,0.014377661
8/1/2013,0.032870432
9/1/2013,0.024385574
10/1/2013,0.014559759
11/1/2013,0.012805627
12/1/2013,0.013057627
1/1/2014,0.031732003
2/1/2014,0.016093803
3/1/2014,0.01419032
4/1/2014,0.011392301
5/1/2014,0.006751934
6/1/2014,0.002563548
7/1/2014,0.021444025
8/1/2014,0.00955022
9/1/2014,0.027488553
10/1/2014,0.022495773
11/1/2014,0.021246999
12/1/2014,0.042715556
1/1/2015,0.059439611
2/1/2015,0.027846603
3/1/2015,0.032873736
4/1/2015,0.026869435
5/1/2015,0.019497118
6/1/2015,0.034049765
7/1/2015,0.015012957
8/1/2015,0.088760325
9/1/2015,0.074997623
10/1/2015,0.033942307
11/1/2015,0.040801164
12/1/2015,0.047268456
1/1/2016,0.061769335
2/1/2016,0.067057224
3/1/2016,0.030162915
4/1/2016,0.039389658
5/1/2016,0.027345981
6/1/2016,0.03421535
7/1/2016,0.020507885
8/1/2016,0.025633698
9/1/2016,0.026584014
10/1/2016,0.03522107
11/1/2016,0.022325439
12/1/2016,0.026610796
1/1/2017,0.01308972
2/1/2017,0.015571004
3/1/2017,0.005869482
4/1/2017,0.002443305
5/1/2017,0.004887947
6/1/2017,0.004819337
7/1/2017,0.000134528
8/1/2017,0.009929886
9/1/2017,0.004280051
10/1/2017,0.003362375
11/1/2017,0.006190289
12/1/2017,0.012012696
1/1/2018,0.016392693
2/1/2018,0.047377833
3/1/2018,0.050796965
4/1/2018,0.029218293
5/1/2018,0.023999907
6/1/2018,0.02887824
7/1/2018,0.015223671
8/1/2018,0.017142572
9/1/2018,0.014453709
10/1/2018,0.052362232
11/1/2018,0.039721297
12/1/2018,0.070205639
1/1/2019,0.031872827
2/1/2019,0.022288365
3/1/2019,0.021046673
4/1/2019,0.018222729
5/1/2019,0.036265845
6/1/2019,0.021887202
7/1/2019,0.027038812
8/1/2019,0.045743293
9/1/2019,0.038185404
10/1/2019,0.027125136
11/1/2019,0.025272646
12/1/2019,0.023179053
1/1/2020,0.03613412
2/1/2020,0.134289241
3/1/2020,0.339885387
